0.0		Ratio vp/vs
0.00 2.075  0.835 
0.20 3.003  1.306 
0.40 3.493  1.587 
0.60 4.274  2.090 
0.80 4.890  2.744 
1.00 5.152  2.995 
1.20 5.343  3.106 
1.40 5.420  3.151 
1.60 5.466  3.178 
1.80 5.511  3.204 
2.00 5.557  3.231 
2.20 5.602  3.257 
2.40 5.648  3.283 
2.60 5.693  3.310 
2.80 5.751  3.344 
3.00 5.814  3.380 
3.20 5.877  3.417 
3.40 5.940  3.454 
3.60 6.003  3.490 
3.80 6.066  3.527 
4.00 6.129  3.564 
4.20 6.192  3.600 
4.40 6.255  3.637 
4.60 6.318  3.673 
4.80 6.381  3.710 
5.00 6.444  3.747 
5.20 6.507  3.783 
5.40 6.570  3.820 
5.60 6.633  3.856 
5.80 6.696  3.893 
6.00 6.759  3.930 
6.20 6.822  3.966 
6.40 6.885  4.003 
6.60 6.948  4.040 
6.80 7.011  4.076 
7.00 7.074  4.113 
7.20 7.137  4.149 
7.40 7.592  4.414 
7.60 8.000  4.651 
