           4  -295.0000    
  -295.0000      -5.000000               0
  -295.0000       200.0000               0
   295.0000      -5.000000               0
   295.0000       200.0000               0
         142  -285.0000    
  -295.0000      -5.000000               0
  -295.0000       200.0000               0
  -95.00000      -5.000000               0
  -95.00000       62.50000               1
  -95.00000       141.7500               2
  -95.00000       200.0000               0
  -85.00000      -5.000000               0
  -85.00000       61.50000               3
  -85.00000       200.0000               0
  -75.00000      -5.000000               0
  -75.00000       61.00000               4
  -75.00000       200.0000               0
  -65.00000      -5.000000               0
  -65.00000       61.25000               5
  -65.00000       200.0000               0
  -55.00000      -5.000000               0
  -55.00000       61.00000               6
  -55.00000       200.0000               0
  -45.00000      -5.000000               0
  -45.00000       63.75000               7
  -45.00000       200.0000               0
  -15.00000      -5.000000               0
  -15.00000       65.50000               8
  -15.00000       200.0000               0
  -5.000000      -5.000000               0
  -5.000000       67.25000               9
  -5.000000       200.0000               0
   5.000000      -5.000000               0
   5.000000       63.75000              10
   5.000000       112.0000              11
   5.000000       200.0000               0
   15.00000      -5.000000               0
   15.00000       62.50000              12
   15.00000       105.0000              13
   15.00000       113.0000              14
   15.00000       128.0000              15
   15.00000       200.0000               0
   25.00000      -5.000000               0
   25.00000       64.50000              16
   25.00000       101.5000              17
   25.00000       115.7500              18
   25.00000       126.5000              19
   25.00000       200.0000               0
   35.00000      -5.000000               0
   35.00000       81.00000              20
   35.00000       87.25000              21
   35.00000       98.75000              22
   35.00000       112.5000              23
   35.00000       121.5000              24
   35.00000       130.0000              25
   35.00000       200.0000               0
   45.00000      -5.000000               0
   45.00000       81.00000              26
   45.00000       87.50000              27
   45.00000       104.2500              28
   45.00000       121.2500              29
   45.00000       129.7500              30
   45.00000       200.0000               0
   55.00000      -5.000000               0
   55.00000       81.00000              31
   55.00000       103.7500              32
   55.00000       119.7500              33
   55.00000       127.0000              34
   55.00000       148.2500              35
   55.00000       200.0000               0
   65.00000      -5.000000               0
   65.00000       106.0000              36
   65.00000       116.0000              37
   65.00000       124.0000              38
   65.00000       135.0000              39
   65.00000       148.5000              40
   65.00000       200.0000               0
   75.00000      -5.000000               0
   75.00000       114.5000              41
   75.00000       123.5000              42
   75.00000       136.0000              43
   75.00000       200.0000               0
   85.00000      -5.000000               0
   85.00000       119.2500              44
   85.00000       139.7500              45
   85.00000       153.7500              46
   85.00000       200.0000               0
   95.00000      -5.000000               0
   95.00000       52.75000              47
   95.00000       59.75000              48
   95.00000       200.0000               0
   105.0000      -5.000000               0
   105.0000       51.50000              49
   105.0000       65.50000              50
   105.0000       196.0000              51
   105.0000       200.0000               0
   115.0000      -5.000000               0
   115.0000       65.50000              52
   115.0000       90.00000              53
   115.0000       200.0000               0
   125.0000      -5.000000               0
   125.0000       45.00000              54
   125.0000       80.75000              55
   125.0000       89.50000              56
   125.0000       200.0000               0
   135.0000      -5.000000               0
   135.0000       41.50000              57
   135.0000       47.75000              58
   135.0000       82.75000              59
   135.0000       131.2500              60
   135.0000       200.0000               0
   155.0000      -5.000000               0
   155.0000       68.50000              61
   155.0000       200.0000               0
   165.0000      -5.000000               0
   165.0000       63.00000              62
   165.0000       69.50000              63
   165.0000       135.7500              64
   165.0000       146.0000              65
   165.0000       200.0000               0
   175.0000      -5.000000               0
   175.0000       106.2500              66
   175.0000       113.2500              67
   175.0000       134.2500              68
   175.0000       143.0000              69
   175.0000       200.0000               0
   185.0000      -5.000000               0
   185.0000       107.5000              70
   185.0000       136.7500              71
   185.0000       200.0000               0
   205.0000      -5.000000               0
   205.0000       158.0000              72
   205.0000       200.0000               0
   215.0000      -5.000000               0
   215.0000       156.0000              73
   215.0000       163.5000              74
   215.0000       200.0000               0
   225.0000      -5.000000               0
   225.0000       86.25000              75
   225.0000       157.5000              76
   225.0000       200.0000               0
   235.0000      -5.000000               0
   235.0000       86.00000              77
   235.0000       94.00000              78
   235.0000       200.0000               0
   295.0000      -5.000000               0
   295.0000       200.0000               0
         152  -275.0000    
  -295.0000      -5.000000               0
  -295.0000       200.0000               0
  -95.00000      -5.000000               0
  -95.00000       62.75000              79
  -95.00000       141.5000              80
  -95.00000       200.0000               0
  -85.00000      -5.000000               0
  -85.00000       61.50000              81
  -85.00000       139.0000              82
  -85.00000       200.0000               0
  -75.00000      -5.000000               0
  -75.00000       62.25000              83
  -75.00000       200.0000               0
  -65.00000      -5.000000               0
  -65.00000       62.00000              84
  -65.00000       200.0000               0
  -55.00000      -5.000000               0
  -55.00000       61.25000              85
  -55.00000       200.0000               0
  -45.00000      -5.000000               0
  -45.00000       63.50000              86
  -45.00000       200.0000               0
  -35.00000      -5.000000               0
  -35.00000       75.00000              87
  -35.00000       200.0000               0
  -15.00000      -5.000000               0
  -15.00000       64.75000              88
  -15.00000       200.0000               0
  -5.000000      -5.000000               0
  -5.000000       68.00000              89
  -5.000000       200.0000               0
   5.000000      -5.000000               0
   5.000000       62.50000              90
   5.000000       105.7500              91
   5.000000       116.5000              92
   5.000000       200.0000               0
   15.00000      -5.000000               0
   15.00000       62.75000              93
   15.00000       99.50000              94
   15.00000       110.7500              95
   15.00000       122.5000              96
   15.00000       200.0000               0
   25.00000      -5.000000               0
   25.00000       64.00000              97
   25.00000       93.25000              98
   25.00000       111.0000              99
   25.00000       119.5000             100
   25.00000       200.0000               0
   35.00000      -5.000000               0
   35.00000       80.50000             101
   35.00000       86.75000             102
   35.00000       94.75000             103
   35.00000       106.7500             104
   35.00000       117.7500             105
   35.00000       126.7500             106
   35.00000       200.0000               0
   45.00000      -5.000000               0
   45.00000       80.25000             107
   45.00000       98.25000             108
   45.00000       114.7500             109
   45.00000       122.5000             110
   45.00000       151.5000             111
   45.00000       200.0000               0
   55.00000      -5.000000               0
   55.00000       80.25000             112
   55.00000       89.50000             113
   55.00000       115.2500             114
   55.00000       122.0000             115
   55.00000       132.5000             116
   55.00000       148.7500             117
   55.00000       200.0000               0
   65.00000      -5.000000               0
   65.00000       105.2500             118
   65.00000       113.7500             119
   65.00000       122.5000             120
