          60          60
           1           2           0           0           0           0
           0           0           0           0           0           0
           0           0           0           0           0           0
           0           0           0           0           0           0
           0           0           0           0           0           0
           0           0           0           0           0           0
           0           0           0           0           0           0
           0           0           0           0           0           0
           0           0           0           0           0           0
           0           0           0           0           0           0
           0           0           0           0           0           0
           0           0           0           0           0           0
           0           0           0           0           0           0
           0           0           0           0           0           0
           0           0           0           0           0           0
           0           0           0           0           0           0
           0           0           0           0           0           0
           0           0           0           0           0           0
           0           0           0           0           0           0
           0           0           0           0           3           4
           1           2           0           0           0           0
           0           0           0           0           0           0
           0           0           0           0           0           0
           0           0           0           0           0           0
           0           0           0           0           3           5
           6           8           0           0           0           0
           0           0           0           0           0           0
           0           0           0           0           0           0
           0           0           0           0           0           0
           0           0           0           0           0           0
           0           0           9          12          13          15
          16          18          19          21          22          24
          25          27           0           0           0           0
          28          30          31          33          34          36
          37          41          42          47          48          53
          54          58          59          65          66          70
          71          74          75          79          80          85
          86          91          92          94           0           0
           0           0           0           0           0           0
           0           0           0           0          95          96
           1           2           0           0           0           0
           0           0           0           0           0           0
           0           0           0           0           0           0
           0           0           0           0           0           0
           0           0           0           0           3           5
           6           8           9          11           0           0
           0           0           0           0           0           0
           0           0           0           0           0           0
           0           0           0           0           0           0
           0           0           0           0           0           0
          12          14          15          18          19          22
          23          25          26          28          29          31
          32          34          35          37           0           0
          38          40          41          43          44          47
          48          53          54          59          60          65
          66          72          73          78          79          83
          84          89          90          96          97         102
         103         106           0           0           0           0
         107         110           0           0           0           0
           0           0           0           0         111         115
           1           2           0           0           0           0
           0           0           0           0           0           0
           0           0           0           0           0           0
           0           0           0           0           0           0
           0           0           0           0           0           0
           3           5           6           8           0           0
           0           0           0           0           0           0
           0           0           0           0           0           0
           0           0           0           0           0           0
           0           0           0           0           0           0
           9          11          12          15          16          18
          19          21          22          24          25          27
          28          30           0           0          31          33
          34          36          37          39          40          44
          45          50          51          56          57          63
          64          69          70          74          75          80
          81          87          88          93          94          97
           0           0           0           0          98         100
         101         103           0           0           0           0
         104         106         107         110         111         115
           1           2           0           0           0           0
           0           0           0           0           0           0
           0           0           0           0           0           0
           0           0           0           0           0           0
           0           0           0           0           0           0
           0           0           3           5           6           8
           0           0           0           0           0           0
           0           0           0           0           0           0
           0           0           0           0           0           0
           0           0           0           0           0           0
           9          11          12          15          16          18
          19          21          22          24          25          27
