##### MODEL_00

1.8			Ratio vp/vs 
-1.000		5.5		3    
30.000		6.5		3.5      
50.000		8.0		4.5      
120.000		8.0500		4.6      
165.000		8.1750		4.9090      
210.000		8.3000		4.5230     
260.000		8.4825		4.6090      
310.000		8.6650		4.6960     
360.000		8.8475		4.7830      
400.000		9.0300		4.8700      
410.000		9.3600		5.0800      
460.000		9.5280		5.1860     
510.000		9.6960		5.2920     
560.000		9.8640		5.3980   
610.000		10.0320		5.5040   
650.000		10.2000		5.6100   
660.000		10.7900		5.9600   
710.000		10.9229		6.0897      
760.000		11.0558		6.2095      
809.500		11.1353		6.2426    
859.000		11.2221		6.2798      
908.500		11.3068		6.3160      
958.000		11.3896		6.3512     
1007.500	11.4705		6.3854 

#### MODEL_01

1.70		Ratio vp/vs
0	4.7	2.8
33	6.3	3.8
53	7.0  	4.4
133	7.8	4.5
243	8.6	4.6
603 9 5.1

#### MODEL_02

1.70			Ratio vp/vs 
-1.000		5.5		3    
30.000		6.5		3.5      
50.000		8.0		4.5      
120.000		8.0500		4.6      
165.000		8.1750		4.9090      
210.000		8.3000		4.5230     
260.000		8.4825		4.6090      
310.000		8.6650		4.6960     
360.000		8.8475		4.7830      
400.000		9.0300		4.8700      
410.000		9.3600		5.0800      
460.000		9.5280		5.1860     
510.000		9.6960		5.2920     
560.000		9.8640		5.3980   
610.000		10.0320		5.5040   
650.000		10.2000		5.6100   
660.000		10.7900		5.9600   
710.000		10.9229		6.0897      
760.000		11.0558		6.2095      
809.500		11.1353		6.2426    
859.000		11.2221		6.2798      
908.500		11.3068		6.3160      
958.000		11.3896		6.3512     
1007.500	11.4705		6.3854   

#### MODEL_03

1.85			Ratio vp/vs 
-1.000		5.5		3    
30.000		6.5		3.5      
50.000		8.0		4.5      
120.000		8.0500		4.6      
165.000		8.1750		4.9090      
210.000		8.3000		4.5230     
260.000		8.4825		4.6090      
310.000		8.6650		4.6960     
360.000		8.8475		4.7830      
400.000		9.0300		4.8700      
410.000		9.3600		5.0800      
460.000		9.5280		5.1860     
510.000		9.6960		5.2920     
560.000		9.8640		5.3980   
610.000		10.0320		5.5040   
650.000		10.2000		5.6100   
660.000		10.7900		5.9600   
710.000		10.9229		6.0897      
760.000		11.0558		6.2095      
809.500		11.1353		6.2426    
859.000		11.2221		6.2798      
908.500		11.3068		6.3160      
958.000		11.3896		6.3512     
1007.500	11.4705		6.3854   

#### MODEL_04

1.75			Ratio vp/vs 
-1.000		5.5		3    
30.000		6.5		3.5      
50.000		8.0		4.5      
120.000		8.0500		4.6      
165.000		8.1750		4.9090      
210.000		8.3000		4.5230     
260.000		8.4825		4.6090      
310.000		8.6650		4.6960     
360.000		8.8475		4.7830      
400.000		9.0300		4.8700      
410.000		9.3600		5.0800      
460.000		9.5280		5.1860     
510.000		9.6960		5.2920     
560.000		9.8640		5.3980   
610.000		10.0320		5.5040   
650.000		10.2000		5.6100   
660.000		10.7900		5.9600   
710.000		10.9229		6.0897      
760.000		11.0558		6.2095      
809.500		11.1353		6.2426    
859.000		11.2221		6.2798      
908.500		11.3068		6.3160      
958.000		11.3896		6.3512     
1007.500	11.4705		6.3854      
   
